STATE,AGE.REFP,SEX.REFP,AGE.SPOUSE,SEX.SPOUSE,NUM.CHILD,SALARY,EDU.FATHER,EDU.MOTHER,RACE.SPOUSE,RELIGION.SPOUSE,RACE.REFP,RELIGION.REFP
47,61,2,0,0,0,0,0,0,0,0,1,6
47,59,2,0,0,0,0,0,0,0,0,1,31
47,45,2,0,0,0,0,0,0,0,0,1,6
20,43,1,0,0,0,0,0,0,0,0,1,14
47,29,2,0,0,1,0,0,0,0,0,1,1
20,28,1,0,0,0,0,0,0,0,0,1,1
47,37,1,34,2,2,559,4,4,1,1,1,1
47,35,1,31,2,0,0,4,4,1,14,1,14
47,26,1,27,2,0,0,2,4,1,1,1,1
47,66,1,64,2,2,96000,4,4,1,10,1,4
47,73,2,0,0,0,0,0,0,0,0,1,6
47,57,1,54,2,0,0,4,7,1,15,1,15
47,52,1,46,2,1,0,7,5,1,6,1,6
47,24,1,20,2,0,0,2,4,1,1,1,6
47,63,1,53,2,0,0,3,3,1,6,1,6
47,42,1,35,2,1,0,0,0,1,15,1,15
29,64,1,63,2,0,200000,4,6,1,9,1,9
22,38,1,36,2,3,0,8,7,1,4,1,4
47,37,1,38,2,3,0,7,6,1,14,1,14
31,34,1,30,2,0,140000,4,4,1,14,1,14
17,74,1,70,2,0,0,2,4,1,10,1,10
39,64,1,0,0,0,0,0,0,0,0,1,1
39,63,2,0,0,0,0,0,0,0,0,1,20
39,44,2,0,0,0,0,0,0,0,0,1,11
39,42,1,40,2,0,0,4,3,1,15,1,15
39,38,2,0,0,4,0,0,0,0,0,1,1
39,38,1,35,2,2,0,4,4,1,1,1,1
39,35,1,30,2,0,0,4,4,1,1,1,1
39,31,1,0,0,0,0,0,0,0,0,1,1
39,29,1,0,0,0,0,0,0,0,0,1,14
39,28,1,28,2,1,600,3,4,1,1,1,1
39,27,1,25,2,1,0,3,6,1,14,1,14
39,26,1,0,0,0,0,0,0,0,0,1,15
17,22,2,0,0,1,0,0,0,0,0,1,1
39,20,2,0,0,2,0,0,0,0,0,1,11
39,49,1,45,2,1,0,4,3,1,6,1,6
39,30,1,29,2,2,0,3,4,1,1,1,1
39,58,1,47,2,1,0,4,4,1,20,1,99
39,26,1,25,2,2,0,4,3,1,15,1,1
39,24,1,24,2,2,0,5,5,1,1,1,1
17,26,1,23,2,0,0,2,3,1,1,1,4
17,31,1,26,2,3,0,3,4,1,11,1,11
37,75,2,0,0,0,0,0,0,0,0,2,6
37,55,2,0,0,0,0,0,0,0,0,2,6
37,53,1,0,0,0,0,0,0,0,0,2,6
37,72,1,57,2,0,0,4,2,2,6,2,6
37,31,2,0,0,1,0,0,0,0,0,2,14
37,26,1,23,2,0,0,5,4,2,14,2,14
37,52,1,48,2,1,49000,6,6,2,6,2,6
37,28,1,28,2,3,0,6,6,2,14,2,14
6,66,1,0,0,0,0,0,0,0,0,1,1
2,68,2,0,0,0,0,0,0,0,0,1,14
2,70,1,67,2,0,0,5,4,1,1,1,1
2,39,1,41,2,3,0,5,4,1,1,1,1
6,55,1,52,2,0,0,4,5,1,1,1,1
6,34,1,34,2,3,0,6,6,1,14,1,99
37,26,1,0,0,0,0,0,0,0,0,1,2
17,24,2,0,0,0,0,0,0,0,0,7,1
6,57,1,62,2,0,0,99,6,1,1,3,1
6,36,1,31,2,2,0,4,6,1,2,1,2
6,81,2,0,0,0,0,0,0,0,0,1,11
6,56,1,56,2,0,0,2,4,3,15,1,15
32,45,1,39,2,9,700,4,6,1,11,1,11
6,29,1,0,0,0,0,0,0,0,0,3,99
37,39,1,35,2,2,0,2,3,1,6,1,6
32,62,1,57,2,0,0,99,99,1,1,1,1
6,65,1,65,2,0,5000,4,4,1,6,1,6
6,66,1,0,0,0,0,0,0,0,0,1,1
6,72,1,0,0,0,0,0,0,0,0,1,1
42,46,2,0,0,1,0,0,0,0,0,1,10
6,45,1,54,2,0,0,4,4,1,6,1,6
32,38,2,0,0,2,0,0,0,0,0,9,14
6,44,2,0,0,2,0,0,0,0,0,1,14
48,40,1,33,2,2,0,4,6,1,15,1,4
6,67,1,0,0,0,0,0,0,0,0,1,13
6,37,2,0,0,1,0,0,0,0,0,1,14
6,37,2,0,0,0,0,0,0,0,0,1,1
12,62,2,0,0,0,0,0,0,0,0,2,15
12,54,1,0,0,0,0,0,0,0,0,2,15
12,53,2,0,0,2,0,0,0,0,0,2,6
12,27,1,26,2,2,0,4,4,2,6,2,1
6,69,2,0,0,0,0,0,0,0,0,1,1
6,48,1,38,2,3,0,0,0,1,14,1,2
20,72,1,72,2,0,0,7,7,1,13,1,13
29,73,1,72,2,0,150,6,5,1,6,1,6
29,73,1,71,2,0,0,4,6,1,6,1,6
29,51,2,0,0,0,0,0,0,0,0,1,13
6,18,1,0,0,0,0,0,0,0,0,4,2
29,47,1,0,0,0,0,0,0,0,0,4,15
6,49,2,0,0,1,0,0,0,0,0,4,13
19,85,2,0,0,0,0,0,0,0,0,1,4
19,59,1,58,2,0,0,3,2,1,9,1,9
19,57,2,0,0,0,0,0,0,0,0,1,9
19,56,2,37,2,0,0,4,4,1,15,1,4
19,37,2,0,0,0,0,0,0,0,0,1,9
19,36,1,0,0,0,84000,0,0,0,0,1,1
19,33,1,28,2,5,0,3,4,1,14,1,9
19,33,1,0,0,0,59000,0,0,0,0,1,1
42,49,1,52,2,0,100000,6,5,1,12,1,6
19,41,1,39,2,2,900,3,3,1,27,1,27
19,56,1,37,2,0,0,4,5,1,99,1,1
39,40,1,0,0,0,0,0,0,0,0,1,6
39,19,2,0,0,0,0,0,0,0,0,1,6
39,43,2,0,0,0,0,0,0,0,0,1,6
39,38,1,40,2,2,145000,99,4,2,6,1,6
39,34,2,0,0,2,0,0,0,0,0,1,11
21,64,1,60,2,1,0,0,0,1,15,1,15
39,39,2,0,0,2,40500,0,0,0,0,1,1
39,48,1,36,2,3,0,3,3,1,14,2,14
21,51,1,38,2,1,0,6,6,1,6,1,6
39,39,1,41,2,3,0,4,4,1,15,1,15
39,61,1,57,2,0,0,4,2,1,6,1,6
47,25,2,0,0,2,40000,0,0,0,0,1,6
47,23,2,0,0,1,0,0,0,0,0,1,6
47,63,1,63,2,1,0,99,0,1,6,1,6
47,64,1,66,2,1,0,1,2,1,27,1,6
47,51,1,45,2,1,0,2,2,1,6,1,6
47,46,1,41,2,0,0,3,2,1,6,1,6
47,63,2,0,0,0,0,0,0,0,0,1,99
47,40,2,0,0,0,0,0,0,0,0,1,19
38,83,1,81,2,0,0,1,2,1,11,1,11
8,54,1,45,2,1,4900,0,0,1,14,1,14
38,30,1,0,0,0,0,0,0,0,0,1,15
38,58,1,58,2,0,0,6,6,1,14,1,14
38,51,1,48,2,0,0,7,6,1,11,1,11
38,49,1,46,2,0,85000,6,4,1,1,1,1
38,34,1,32,2,2,19200,6,7,1,11,1,11
8,28,1,28,2,0,102000,8,7,1,1,1,1
38,29,1,28,2,0,0,4,5,1,11,1,9
17,78,2,0,0,0,0,0,0,0,0,1,10
17,59,1,0,0,0,0,0,0,0,0,1,10
17,55,1,0,0,0,0,0,0,0,0,1,10
17,41,2,0,0,2,0,0,0,0,0,1,2
17,30,2,0,0,0,33000,0,0,0,0,1,1
17,27,1,0,0,0,0,0,0,0,0,1,1
6,59,1,57,2,0,0,4,4,1,11,1,11
6,46,1,45,2,0,14900,4,4,1,10,1,14
17,77,1,0,0,0,0,0,0,0,0,1,6
17,51,1,48,2,1,5000,4,4,1,14,1,14
48,41,1,30,2,5,0,4,8,1,1,1,1
8,84,1,81,2,0,0,2,4,1,6,1,6
28,61,1,65,2,0,0,4,4,1,6,1,6
5,58,1,67,2,0,0,99,99,1,1,1,11
41,57,1,0,0,0,6429,0,0,0,0,1,6
